date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:25:05	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Oct%202020%2018:25:14%20GMT	https://www.au.edu.pk/robots.txt		(from )
23:25:05	52749/52749	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Oct%202020%2018:25:14%20GMT	https://www.au.edu.pk/	G:/SCRAPY/Clone%20Air/AirUniversity/www.au.edu.pk/index.html	(from )
23:25:05	12808/12808	---M--	200	added ('OK')	image/png	etag:%224ccc9c22bfed31:0%22	https://www.au.edu.pk/Assets/images/aulogo.png	G:/SCRAPY/Clone%20Air/AirUniversity/www.au.edu.pk/Assets/images/aulogo.png	(from https://www.au.edu.pk/)
23:25:06	23409/23409	---M-Z	200	added ('OK')	text/css	etag:%222512232bfed31:0%22	https://www.au.edu.pk/Assets/Bootstrap/css/bootstrap-theme.min.css	G:/SCRAPY/Clone%20Air/AirUniversity/www.au.edu.pk/Assets/Bootstrap/css/bootstrap-theme.min.css	(from https://www.au.edu.pk/)
23:25:06	167352/167352	---M-Z	200	added ('OK')	text/css	etag:%2210a15ff21ed8d51:0%22	https://www.au.edu.pk/Assets/Bootstrap/css/bootstrap.min.css	G:/SCRAPY/Clone%20Air/AirUniversity/www.au.edu.pk/Assets/Bootstrap/css/bootstrap.min.css	(from https://www.au.edu.pk/)
23:25:06	2488/2488	---M-Z	200	added ('OK')	text/css	etag:%22cb615432bfed31:0%22	https://www.au.edu.pk/Assets/Bootstrap/css/carousel.css	G:/SCRAPY/Clone%20Air/AirUniversity/www.au.edu.pk/Assets/Bootstrap/css/carousel.css	(from https://www.au.edu.pk/)
23:25:07	35134/35134	---M-Z	200	added ('OK')	text/css	etag:%229c914742bfed31:0%22	https://www.au.edu.pk/Assets/Font_Awesome_4.6.3/css/font-awesome.css	G:/SCRAPY/Clone%20Air/AirUniversity/www.au.edu.pk/Assets/Font_Awesome_4.6.3/css/font-awesome.css	(from https://www.au.edu.pk/)
23:25:07	395/395	---M-Z	200	added ('OK')	text/css	etag:%225e10a1282bfed31:0%22	https://www.au.edu.pk/Assets/Ticker/assets/css/styles.css	G:/SCRAPY/Clone%20Air/AirUniversity/www.au.edu.pk/Assets/Ticker/assets/css/styles.css	(from https://www.au.edu.pk/)
23:25:07	2439/2439	---M-Z	200	added ('OK')	text/css	etag:%22a53f522bfed31:0%22	https://www.au.edu.pk/Assets/Accordion/css/smk-accordion.css	G:/SCRAPY/Clone%20Air/AirUniversity/www.au.edu.pk/Assets/Accordion/css/smk-accordion.css	(from https://www.au.edu.pk/)
23:25:08	9876/9876	---M-Z	200	added ('OK')	text/css	etag:%2265e5d932bfed31:0%22	https://www.au.edu.pk/Assets/Custom/css/Custom_Styles.css	G:/SCRAPY/Clone%20Air/AirUniversity/www.au.edu.pk/Assets/Custom/css/Custom_Styles.css	(from https://www.au.edu.pk/)
